Month,Product,Price
2004-10-01T00:00:00Z,"Bananas, per lb.",0.485
2004-10-01T00:00:00Z,"Oranges, Navel, per lb.",NA
2004-10-01T00:00:00Z,"Bread, white, pan, per lb.",0.972
2004-10-01T00:00:00Z,"Tomatoes, field grown, per lb.",1.715
2004-10-01T00:00:00Z,"Chicken, fresh, whole, per lb.",1.078
2004-10-01T00:00:00Z,Electricity per KWH,0.094
2004-10-01T00:00:00Z,"Eggs, grade A, large, per doz.",1.089
2004-10-01T00:00:00Z,"Gasoline, unleaded regular, per gallon",2.029
2004-10-01T00:00:00Z,"Ground chuck, 100% beef, per lb.",2.484
2004-10-01T00:00:00Z,Utility (piped) gas per therm,1.044
2004-10-01T00:00:00Z,"Milk, fresh, whole, fortified, per gal.",3.161
2004-11-01T00:00:00Z,"Bananas, per lb.",0.469
2004-11-01T00:00:00Z,"Oranges, Navel, per lb.",1.08
2004-11-01T00:00:00Z,"Bread, white, pan, per lb.",0.976
2004-11-01T00:00:00Z,"Tomatoes, field grown, per lb.",2.337
2004-11-01T00:00:00Z,"Chicken, fresh, whole, per lb.",1.039
2004-11-01T00:00:00Z,Electricity per KWH,0.092
2004-11-01T00:00:00Z,"Eggs, grade A, large, per doz.",1.085
2004-11-01T00:00:00Z,"Gasoline, unleaded regular, per gallon",2.01
2004-11-01T00:00:00Z,"Ground chuck, 100% beef, per lb.",2.461
2004-11-01T00:00:00Z,Utility (piped) gas per therm,1.145
2004-11-01T00:00:00Z,"Milk, fresh, whole, fortified, per gal.",3.219
2004-12-01T00:00:00Z,"Bananas, per lb.",0.474
2004-12-01T00:00:00Z,"Oranges, Navel, per lb.",0.865
2004-12-01T00:00:00Z,"Bread, white, pan, per lb.",0.97
2004-12-01T00:00:00Z,"Tomatoes, field grown, per lb.",2.467
2004-12-01T00:00:00Z,"Chicken, fresh, whole, per lb.",1.03
2004-12-01T00:00:00Z,Electricity per KWH,0.092
2004-12-01T00:00:00Z,"Eggs, grade A, large, per doz.",1.199
2004-12-01T00:00:00Z,"Gasoline, unleaded regular, per gallon",1.882
2004-12-01T00:00:00Z,"Ground chuck, 100% beef, per lb.",2.465
2004-12-01T00:00:00Z,Utility (piped) gas per therm,1.154
2004-12-01T00:00:00Z,"Milk, fresh, whole, fortified, per gal.",3.233
2005-01-01T00:00:00Z,"Bananas, per lb.",0.485
2005-01-01T00:00:00Z,"Oranges, Navel, per lb.",0.838
2005-01-01T00:00:00Z,"Bread, white, pan, per lb.",0.997
2005-01-01T00:00:00Z,"Tomatoes, field grown, per lb.",1.66
2005-01-01T00:00:00Z,"Chicken, fresh, whole, per lb.",1.026
2005-01-01T00:00:00Z,Electricity per KWH,0.094
2005-01-01T00:00:00Z,"Eggs, grade A, large, per doz.",1.211
2005-01-01T00:00:00Z,"Gasoline, unleaded regular, per gallon",1.823
2005-01-01T00:00:00Z,"Ground chuck, 100% beef, per lb.",2.478
2005-01-01T00:00:00Z,Utility (piped) gas per therm,1.142
2005-01-01T00:00:00Z,"Milk, fresh, whole, fortified, per gal.",3.304
2005-02-01T00:00:00Z,"Bananas, per lb.",0.502
2005-02-01T00:00:00Z,"Oranges, Navel, per lb.",0.802
2005-02-01T00:00:00Z,"Bread, white, pan, per lb.",0.982
2005-02-01T00:00:00Z,"Tomatoes, field grown, per lb.",1.428
2005-02-01T00:00:00Z,"Chicken, fresh, whole, per lb.",1.038
2005-02-01T00:00:00Z,Electricity per KWH,0.094
2005-02-01T00:00:00Z,"Eggs, grade A, large, per doz.",1.284
2005-02-01T00:00:00Z,"Gasoline, unleaded regular, per gallon",1.918
2005-02-01T00:00:00Z,"Ground chuck, 100% beef, per lb.",2.531
2005-02-01T00:00:00Z,Utility (piped) gas per therm,1.111
2005-02-01T00:00:00Z,"Milk, fresh, whole, fortified, per gal.",3.176
2005-03-01T00:00:00Z,"Bananas, per lb.",0.507
2005-03-01T00:00:00Z,"Oranges, Navel, per lb.",0.783
2005-03-01T00:00:00Z,"Bread, white, pan, per lb.",1.002
2005-03-01T00:00:00Z,"Tomatoes, field grown, per lb.",1.548
2005-03-01T00:00:00Z,"Chicken, fresh, whole, per lb.",1.061
2005-03-01T00:00:00Z,Electricity per KWH,0.094
2005-03-01T00:00:00Z,"Eggs, grade A, large, per doz.",1.132
2005-03-01T00:00:00Z,"Gasoline, unleaded regular, per gallon",2.065
2005-03-01T00:00:00Z,"Ground chuck, 100% beef, per lb.",2.519
2005-03-01T00:00:00Z,Utility (piped) gas per therm,1.096
2005-03-01T00:00:00Z,"Milk, fresh, whole, fortified, per gal.",3.226
2005-04-01T00:00:00Z,"Bananas, per lb.",0.503
2005-04-01T00:00:00Z,"Oranges, Navel, per lb.",0.816
2005-04-01T00:00:00Z,"Bread, white, pan, per lb.",1.004
2005-04-01T00:00:00Z,"Tomatoes, field grown, per lb.",1.71
2005-04-01T00:00:00Z,"Chicken, fresh, whole, per lb.",1.07
2005-04-01T00:00:00Z,Electricity per KWH,0.095
2005-04-01T00:00:00Z,"Eggs, grade A, large, per doz.",1.164
2005-04-01T00:00:00Z,"Gasoline, unleaded regular, per gallon",2.283
2005-04-01T00:00:00Z,"Ground chuck, 100% beef, per lb.",2.504
2005-04-01T00:00:00Z,Utility (piped) gas per therm,1.158
2005-04-01T00:00:00Z,"Milk, fresh, whole, fortified, per gal.",3.225
2005-05-01T00:00:00Z,"Bananas, per lb.",0.497
2005-05-01T00:00:00Z,"Oranges, Navel, per lb.",0.899
2005-05-01T00:00:00Z,"Bread, white, pan, per lb.",1.086
2005-05-01T00:00:00Z,"Tomatoes, field grown, per lb.",1.911
2005-05-01T00:00:00Z,"Chicken, fresh, whole, per lb.",1.052
2005-05-01T00:00:00Z,Electricity per KWH,0.097
2005-05-01T00:00:00Z,"Eggs, grade A, large, per doz.",1.185
2005-05-01T00:00:00Z,"Gasoline, unleaded regular, per gallon",2.216
2005-05-01T00:00:00Z,"Ground chuck, 100% beef, per lb.",2.572
2005-05-01T00:00:00Z,Utility (piped) gas per therm,1.152
2005-05-01T00:00:00Z,"Milk, fresh, whole, fortified, per gal.",3.207
2005-06-01T00:00:00Z,"Bananas, per lb.",0.493
2005-06-01T00:00:00Z,"Oranges, Navel, per lb.",1.012
2005-06-01T00:00:00Z,"Bread, white, pan, per lb.",1.09
2005-06-01T00:00:00Z,"Tomatoes, field grown, per lb.",1.655
2005-06-01T00:00:00Z,"Chicken, fresh, whole, per lb.",1.075
2005-06-01T00:00:00Z,Electricity per KWH,0.104
2005-06-01T00:00:00Z,"Eggs, grade A, large, per doz.",1.139
2005-06-01T00:00:00Z,"Gasoline, unleaded regular, per gallon",2.176
2005-06-01T00:00:00Z,"Ground chuck, 100% beef, per lb.",2.542
2005-06-01T00:00:00Z,Utility (piped) gas per therm,1.124
2005-06-01T00:00:00Z,"Milk, fresh, whole, fortified, per gal.",3.122
2005-07-01T00:00:00Z,"Bananas, per lb.",0.494
2005-07-01T00:00:00Z,"Oranges, Navel, per lb.",NA
2005-07-01T00:00:00Z,"Bread, white, pan, per lb.",1.067
2005-07-01T00:00:00Z,"Tomatoes, field grown, per lb.",1.607
2005-07-01T00:00:00Z,"Chicken, fresh, whole, per lb.",1.067
2005-07-01T00:00:00Z,Electricity per KWH,0.105
2005-07-01T00:00:00Z,"Eggs, grade A, large, per doz.",1.165
2005-07-01T00:00:00Z,"Gasoline, unleaded regular, per gallon",2.316
