City,12 mo Avg Inflation,month_year
"Anchorage, Alaska",-0.3,February 2020
"Anchorage, Alaska",1.3,February 2021
"Anchorage, Alaska",7.4,February 2022
"Anchorage, Alaska",4.3,February 2023
"Anchorage, Alaska",1.7,February 2024
"Anchorage, Alaska",-2.5,April 2020
"Anchorage, Alaska",4.8,April 2021
"Anchorage, Alaska",7.5,April 2022
"Anchorage, Alaska",3.1,April 2023
"Anchorage, Alaska",3.2,April 2024
"Anchorage, Alaska",-3.8,June 2020
"Anchorage, Alaska",6.2,June 2021
"Anchorage, Alaska",12.4,June 2022
"Anchorage, Alaska",-3.3,June 2023
"Anchorage, Alaska",2.9,June 2024
"Anchorage, Alaska",-1.5,August 2020
"Anchorage, Alaska",5.7,August 2021
"Anchorage, Alaska",7.6,August 2022
"Anchorage, Alaska",2,August 2023
"Anchorage, Alaska",1.5,August 2024
"Anchorage, Alaska",0.3,October 2020
"Anchorage, Alaska",6.3,October 2021
"Anchorage, Alaska",7.6,October 2022
"Anchorage, Alaska",1.1,October 2023
"Anchorage, Alaska",2.1,October 2024
"Anchorage, Alaska",0.3,December 2020
"Anchorage, Alaska",7.2,December 2021
"Anchorage, Alaska",5.4,December 2022
"Anchorage, Alaska",1.8,December 2023
"Anchorage, Alaska",NA,December 2024
"Atlanta, Georgia",2.9,February 2020
"Atlanta, Georgia",2.4,February 2021
"Atlanta, Georgia",10.6,February 2022
"Atlanta, Georgia",7.2,February 2023
"Atlanta, Georgia",3.3,February 2024
"Atlanta, Georgia",-0.3,April 2020
"Atlanta, Georgia",6,April 2021
"Atlanta, Georgia",10.8,April 2022
"Atlanta, Georgia",5.8,April 2023
"Atlanta, Georgia",3.1,April 2024
"Atlanta, Georgia",0.9,June 2020
"Atlanta, Georgia",6.7,June 2021
"Atlanta, Georgia",11.5,June 2022
"Atlanta, Georgia",4.6,June 2023
"Atlanta, Georgia",2.6,June 2024
"Atlanta, Georgia",0.7,August 2020
"Atlanta, Georgia",6.6,August 2021
"Atlanta, Georgia",11.7,August 2022
"Atlanta, Georgia",4.4,August 2023
"Atlanta, Georgia",1.7,August 2024
"Atlanta, Georgia",1.2,October 2020
"Atlanta, Georgia",7.9,October 2021
"Atlanta, Georgia",10.7,October 2022
"Atlanta, Georgia",3.2,October 2023
"Atlanta, Georgia",1.9,October 2024
"Atlanta, Georgia",1.6,December 2020
"Atlanta, Georgia",9.8,December 2021
"Atlanta, Georgia",8.1,December 2022
"Atlanta, Georgia",3.6,December 2023
"Atlanta, Georgia",NA,December 2024
"Chicago, Illinois",2.6,January 2020
"Chicago, Illinois",0.7,January 2021
"Chicago, Illinois",6.8,January 2022
"Chicago, Illinois",5.4,January 2023
"Chicago, Illinois",3.3,January 2024
"Chicago, Illinois",2,February 2020
"Chicago, Illinois",1.2,February 2021
"Chicago, Illinois",7.1,February 2022
"Chicago, Illinois",5,February 2023
"Chicago, Illinois",3.4,February 2024
"Chicago, Illinois",1.1,March 2020
"Chicago, Illinois",2.6,March 2021
"Chicago, Illinois",7.8,March 2022
"Chicago, Illinois",4.4,March 2023
"Chicago, Illinois",3.1,March 2024
"Chicago, Illinois",0.3,April 2020
"Chicago, Illinois",4.6,April 2021
"Chicago, Illinois",7.2,April 2022
"Chicago, Illinois",4.8,April 2023
"Chicago, Illinois",3,April 2024
"Chicago, Illinois",0.4,May 2020
"Chicago, Illinois",4.7,May 2021
"Chicago, Illinois",8,May 2022
"Chicago, Illinois",3.3,May 2023
"Chicago, Illinois",3.1,May 2024
"Chicago, Illinois",1.1,June 2020
"Chicago, Illinois",4.7,June 2021
"Chicago, Illinois",8.9,June 2022
"Chicago, Illinois",2.1,June 2023
"Chicago, Illinois",3,June 2024
"Chicago, Illinois",1,July 2020
"Chicago, Illinois",4.9,July 2021
"Chicago, Illinois",8.4,July 2022
"Chicago, Illinois",2.2,July 2023
"Chicago, Illinois",3.7,July 2024
"Chicago, Illinois",1,August 2020
"Chicago, Illinois",4.8,August 2021
"Chicago, Illinois",8.3,August 2022
"Chicago, Illinois",2.3,August 2023
"Chicago, Illinois",3.8,August 2024
"Chicago, Illinois",1.4,September 2020
"Chicago, Illinois",4.5,September 2021
"Chicago, Illinois",8.2,September 2022
"Chicago, Illinois",2.3,September 2023
"Chicago, Illinois",4.1,September 2024
"Chicago, Illinois",1,October 2020
"Chicago, Illinois",5.3,October 2021
"Chicago, Illinois",7.7,October 2022
"Chicago, Illinois",2.4,October 2023
"Chicago, Illinois",3.5,October 2024
"Chicago, Illinois",0.8,November 2020
"Chicago, Illinois",6,November 2021
"Chicago, Illinois",6.8,November 2022
"Chicago, Illinois",2.5,November 2023
"Chicago, Illinois",NA,November 2024
"Chicago, Illinois",0.9,December 2020
"Chicago, Illinois",6.6,December 2021
"Chicago, Illinois",5.5,December 2022
"Chicago, Illinois",3.3,December 2023
"Chicago, Illinois",NA,December 2024
"Washington, D.C.",1.6,January 2020
"Washington, D.C.",1.5,January 2021
"Washington, D.C.",6,January 2022
"Washington, D.C.",4.4,January 2023
"Washington, D.C.",3.6,January 2024
"Washington, D.C.",0.4,March 2020
"Washington, D.C.",2.6,March 2021
"Washington, D.C.",7.3,March 2022
"Washington, D.C.",3.7,March 2023
"Washington, D.C.",3.4,March 2024
"Washington, D.C.",-0.1,May 2020
"Washington, D.C.",3.8,May 2021
"Washington, D.C.",7.5,May 2022
"Washington, D.C.",3.1,May 2023
"Washington, D.C.",3.3,May 2024
"Washington, D.C.",0.8,July 2020
"Washington, D.C.",4.4,July 2021
"Washington, D.C.",7.5,July 2022
"Washington, D.C.",1.8,July 2023
"Washington, D.C.",3.7,July 2024
"Washington, D.C.",1.2,September 2020
"Washington, D.C.",4.5,September 2021
"Washington, D.C.",6.5,September 2022
"Washington, D.C.",3.3,September 2023
"Washington, D.C.",2.6,September 2024
"Washington, D.C.",1.4,November 2020
"Washington, D.C.",5.8,November 2021
"Washington, D.C.",5.6,November 2022
"Washington, D.C.",2.8,November 2023
"Washington, D.C.",NA,November 2024
"Los Angeles, California",3.1,January 2020
"Los Angeles, California",0.9,January 2021
"Los Angeles, California",7.5,January 2022
"Los Angeles, California",5.8,January 2023
"Los Angeles, California",2.5,January 2024
"Los Angeles, California",3.4,February 2020
"Los Angeles, California",1,February 2021
"Los Angeles, California",7.4,February 2022
"Los Angeles, California",5.1,February 2023
"Los Angeles, California",3.4,February 2024
"Los Angeles, California",1.9,March 2020
"Los Angeles, California",2.2,March 2021
"Los Angeles, California",8.5,March 2022
"Los Angeles, California",3.7,March 2023
"Los Angeles, California",4,March 2024
"Los Angeles, California",0.7,April 2020
"Los Angeles, California",3.6,April 2021
"Los Angeles, California",7.9,April 2022
"Los Angeles, California",3.8,April 2023
"Los Angeles, California",3.9,April 2024
"Los Angeles, California",0.9,May 2020
"Los Angeles, California",3.9,May 2021
"Los Angeles, California",8,May 2022
"Los Angeles, California",3.2,May 2023
"Los Angeles, California",3.9,May 2024
"Los Angeles, California",1.4,June 2020
"Los Angeles, California",4,June 2021
"Los Angeles, California",8.6,June 2022
"Los Angeles, California",2.5,June 2023
"Los Angeles, California",3.2,June 2024
"Los Angeles, California",1.9,July 2020
"Los Angeles, California",3.9,July 2021
"Los Angeles, California",7.7,July 2022
"Los Angeles, California",2.7,July 2023
"Los Angeles, California",3.4,July 2024
"Los Angeles, California",2,August 2020
"Los Angeles, California",4,August 2021
"Los Angeles, California",7.6,August 2022
"Los Angeles, California",3.3,August 2023
"Los Angeles, California",2.9,August 2024
"Los Angeles, California",1.2,September 2020
"Los Angeles, California",4.6,September 2021
"Los Angeles, California",7.8,September 2022
"Los Angeles, California",3.2,September 2023
"Los Angeles, California",2.8,September 2024
"Los Angeles, California",0.7,October 2020
"Los Angeles, California",5.4,October 2021
"Los Angeles, California",7.5,October 2022
"Los Angeles, California",2.4,October 2023
"Los Angeles, California",3,October 2024
"Los Angeles, California",1,November 2020
"Los Angeles, California",6,November 2021
"Los Angeles, California",6,November 2022
"Los Angeles, California",2.8,November 2023
"Los Angeles, California",NA,November 2024
"Los Angeles, California",1.5,December 2020
"Los Angeles, California",6.6,December 2021
"Los Angeles, California",4.9,December 2022
"Los Angeles, California",3.5,December 2023
"Los Angeles, California",NA,December 2024
"Miami, Florida",1.4,February 2020
"Miami, Florida",1.4,February 2021
"Miami, Florida",9.3,February 2022
"Miami, Florida",9.2,February 2023
"Miami, Florida",4.9,February 2024
"Miami, Florida",-0.5,April 2020
"Miami, Florida",4.1,April 2021
"Miami, Florida",9.1,April 2022
"Miami, Florida",9,April 2023
"Miami, Florida",4.5,April 2024
"Miami, Florida",0.7,June 2020
"Miami, Florida",5.1,June 2021
"Miami, Florida",10.1,June 2022
"Miami, Florida",6.9,June 2023
"Miami, Florida",3.5,June 2024
"Miami, Florida",1.4,August 2020
"Miami, Florida",4.2,August 2021
"Miami, Florida",10.2,August 2022
"Miami, Florida",7.8,August 2023
"Miami, Florida",2.6,August 2024
"Miami, Florida",1,October 2020
"Miami, Florida",5.7,October 2021
"Miami, Florida",9.6,October 2022
"Miami, Florida",7.4,October 2023
"Miami, Florida",2.7,October 2024
"Miami, Florida",1.1,December 2020
"Miami, Florida",7.1,December 2021
"Miami, Florida",9.9,December 2022
"Miami, Florida",5.7,December 2023
"Miami, Florida",NA,December 2024
"Philadelphia, Pennsylvania",2.6,February 2020
"Philadelphia, Pennsylvania",1,February 2021
"Philadelphia, Pennsylvania",7.3,February 2022
"Philadelphia, Pennsylvania",6.9,February 2023
"Philadelphia, Pennsylvania",3.4,February 2024
"Philadelphia, Pennsylvania",-0.1,April 2020
"Philadelphia, Pennsylvania",3.5,April 2021
"Philadelphia, Pennsylvania",8.4,April 2022
"Philadelphia, Pennsylvania",4.7,April 2023
"Philadelphia, Pennsylvania",4.1,April 2024
"Philadelphia, Pennsylvania",0.1,June 2020
"Philadelphia, Pennsylvania",4.9,June 2021
"Philadelphia, Pennsylvania",8.8,June 2022
"Philadelphia, Pennsylvania",3.1,June 2023
"Philadelphia, Pennsylvania",3.6,June 2024
"Philadelphia, Pennsylvania",0.4,August 2020
"Philadelphia, Pennsylvania",4.6,August 2021
"Philadelphia, Pennsylvania",8.1,August 2022
"Philadelphia, Pennsylvania",3.9,August 2023
"Philadelphia, Pennsylvania",3.4,August 2024
"Philadelphia, Pennsylvania",0.8,October 2020
"Philadelphia, Pennsylvania",5.6,October 2021
"Philadelphia, Pennsylvania",7.8,October 2022
"Philadelphia, Pennsylvania",3.5,October 2023
"Philadelphia, Pennsylvania",3.4,October 2024
"Philadelphia, Pennsylvania",1.1,December 2020
"Philadelphia, Pennsylvania",6.6,December 2021
"Philadelphia, Pennsylvania",6.4,December 2022
"Philadelphia, Pennsylvania",3.9,December 2023
"Philadelphia, Pennsylvania",NA,December 2024
