month_year,CPI
Jan 1913,9.8
Feb 1913,9.8
Mar 1913,9.8
Apr 1913,9.8
May 1913,9.7
June 1913,9.8
July 1913,9.9
Aug 1913,9.9
Sep 1913,10
Oct 1913,10
Nov 1913,10.1
Dec 1913,10
Jan 1914,10
Feb 1914,9.9
Mar 1914,9.9
Apr 1914,9.8
May 1914,9.9
June 1914,9.9
July 1914,10
Aug 1914,10.2
Sep 1914,10.2
Oct 1914,10.1
Nov 1914,10.2
Dec 1914,10.1
Jan 1915,10.1
Feb 1915,10
Mar 1915,9.9
Apr 1915,10
May 1915,10.1
June 1915,10.1
July 1915,10.1
Aug 1915,10.1
Sep 1915,10.1
Oct 1915,10.2
Nov 1915,10.3
Dec 1915,10.3
Jan 1916,10.4
Feb 1916,10.4
Mar 1916,10.5
Apr 1916,10.6
May 1916,10.7
June 1916,10.8
July 1916,10.8
Aug 1916,10.9
Sep 1916,11.1
Oct 1916,11.3
Nov 1916,11.5
Dec 1916,11.6
Jan 1917,11.7
Feb 1917,12
Mar 1917,12
Apr 1917,12.6
May 1917,12.8
June 1917,13
July 1917,12.8
Aug 1917,13
Sep 1917,13.3
Oct 1917,13.5
Nov 1917,13.5
Dec 1917,13.7
Jan 1918,14
Feb 1918,14.1
Mar 1918,14
Apr 1918,14.2
May 1918,14.5
June 1918,14.7
July 1918,15.1
Aug 1918,15.4
Sep 1918,15.7
Oct 1918,16
Nov 1918,16.3
Dec 1918,16.5
Jan 1919,16.5
Feb 1919,16.2
Mar 1919,16.4
Apr 1919,16.7
May 1919,16.9
June 1919,16.9
July 1919,17.4
Aug 1919,17.7
Sep 1919,17.8
Oct 1919,18.1
Nov 1919,18.5
Dec 1919,18.9
Jan 1920,19.3
Feb 1920,19.5
Mar 1920,19.7
Apr 1920,20.3
May 1920,20.6
June 1920,20.9
July 1920,20.8
Aug 1920,20.3
Sep 1920,20
Oct 1920,19.9
Nov 1920,19.8
Dec 1920,19.4
Jan 1921,19
Feb 1921,18.4
Mar 1921,18.3
Apr 1921,18.1
May 1921,17.7
June 1921,17.6
July 1921,17.7
Aug 1921,17.7
Sep 1921,17.5
Oct 1921,17.5
Nov 1921,17.4
Dec 1921,17.3
Jan 1922,16.9
Feb 1922,16.9
Mar 1922,16.7
Apr 1922,16.7
May 1922,16.7
June 1922,16.7
July 1922,16.8
Aug 1922,16.6
Sep 1922,16.6
Oct 1922,16.7
Nov 1922,16.8
Dec 1922,16.9
Jan 1923,16.8
Feb 1923,16.8
Mar 1923,16.8
Apr 1923,16.9
May 1923,16.9
June 1923,17
July 1923,17.2
Aug 1923,17.1
Sep 1923,17.2
Oct 1923,17.3
Nov 1923,17.3
Dec 1923,17.3
Jan 1924,17.3
Feb 1924,17.2
Mar 1924,17.1
Apr 1924,17
May 1924,17
June 1924,17
July 1924,17.1
Aug 1924,17
Sep 1924,17.1
Oct 1924,17.2
Nov 1924,17.2
Dec 1924,17.3
Jan 1925,17.3
Feb 1925,17.2
Mar 1925,17.3
Apr 1925,17.2
May 1925,17.3
June 1925,17.5
July 1925,17.7
Aug 1925,17.7
Sep 1925,17.7
Oct 1925,17.7
Nov 1925,18
Dec 1925,17.9
Jan 1926,17.9
Feb 1926,17.9
Mar 1926,17.8
Apr 1926,17.9
May 1926,17.8
June 1926,17.7
July 1926,17.5
Aug 1926,17.4
Sep 1926,17.5
Oct 1926,17.6
Nov 1926,17.7
Dec 1926,17.7
Jan 1927,17.5
Feb 1927,17.4
Mar 1927,17.3
Apr 1927,17.3
May 1927,17.4
June 1927,17.6
July 1927,17.3
Aug 1927,17.2
Sep 1927,17.3
Oct 1927,17.4
Nov 1927,17.3
Dec 1927,17.3
Jan 1928,17.3
Feb 1928,17.1
Mar 1928,17.1
Apr 1928,17.1
May 1928,17.2
June 1928,17.1
July 1928,17.1
Aug 1928,17.1
Sep 1928,17.3
Oct 1928,17.2
Nov 1928,17.2
Dec 1928,17.1
Jan 1929,17.1
Feb 1929,17.1
Mar 1929,17
Apr 1929,16.9
May 1929,17
June 1929,17.1
July 1929,17.3
Aug 1929,17.3
Sep 1929,17.3
Oct 1929,17.3
Nov 1929,17.3
Dec 1929,17.2
Jan 1930,17.1
Feb 1930,17
Mar 1930,16.9
Apr 1930,17
May 1930,16.9
June 1930,16.8
July 1930,16.6
Aug 1930,16.5
Sep 1930,16.6
Oct 1930,16.5
Nov 1930,16.4
Dec 1930,16.1
Jan 1931,15.9
Feb 1931,15.7
Mar 1931,15.6
Apr 1931,15.5
May 1931,15.3
June 1931,15.1
July 1931,15.1
Aug 1931,15.1
Sep 1931,15
Oct 1931,14.9
Nov 1931,14.7
Dec 1931,14.6
Jan 1932,14.3
Feb 1932,14.1
Mar 1932,14
Apr 1932,13.9
May 1932,13.7
June 1932,13.6
July 1932,13.6
Aug 1932,13.5
Sep 1932,13.4
Oct 1932,13.3
Nov 1932,13.2
Dec 1932,13.1
Jan 1933,12.9
Feb 1933,12.7
Mar 1933,12.6
Apr 1933,12.6
May 1933,12.6
June 1933,12.7
July 1933,13.1
Aug 1933,13.2
Sep 1933,13.2
Oct 1933,13.2
Nov 1933,13.2
Dec 1933,13.2
Jan 1934,13.2
Feb 1934,13.3
Mar 1934,13.3
Apr 1934,13.3
May 1934,13.3
June 1934,13.4
July 1934,13.4
Aug 1934,13.4
Sep 1934,13.6
Oct 1934,13.5
Nov 1934,13.5
Dec 1934,13.4
Jan 1935,13.6
Feb 1935,13.7
Mar 1935,13.7
Apr 1935,13.8
May 1935,13.8
June 1935,13.7
July 1935,13.7
Aug 1935,13.7
Sep 1935,13.7
Oct 1935,13.7
Nov 1935,13.8
Dec 1935,13.8
Jan 1936,13.8
Feb 1936,13.8
Mar 1936,13.7
Apr 1936,13.7
May 1936,13.7
June 1936,13.8
July 1936,13.9
Aug 1936,14
Sep 1936,14
Oct 1936,14
Nov 1936,14
Dec 1936,14
Jan 1937,14.1
Feb 1937,14.1
Mar 1937,14.2
Apr 1937,14.3
May 1937,14.4
June 1937,14.4
July 1937,14.5
Aug 1937,14.5
Sep 1937,14.6
Oct 1937,14.6
Nov 1937,14.5
Dec 1937,14.4
Jan 1938,14.2
Feb 1938,14.1
Mar 1938,14.1
Apr 1938,14.2
May 1938,14.1
June 1938,14.1
July 1938,14.1
Aug 1938,14.1
Sep 1938,14.1
Oct 1938,14
Nov 1938,14
Dec 1938,14
Jan 1939,14
Feb 1939,13.9
Mar 1939,13.9
Apr 1939,13.8
May 1939,13.8
June 1939,13.8
July 1939,13.8
Aug 1939,13.8
Sep 1939,14.1
Oct 1939,14
Nov 1939,14
Dec 1939,14
Jan 1940,13.9
Feb 1940,14
Mar 1940,14
Apr 1940,14
May 1940,14
June 1940,14.1
July 1940,14
Aug 1940,14
Sep 1940,14
Oct 1940,14
Nov 1940,14
Dec 1940,14.1
Jan 1941,14.1
Feb 1941,14.1
Mar 1941,14.2
Apr 1941,14.3
May 1941,14.4
June 1941,14.7
July 1941,14.7
Aug 1941,14.9
Sep 1941,15.1
Oct 1941,15.3
Nov 1941,15.4
Dec 1941,15.5
Jan 1942,15.7
Feb 1942,15.8
Mar 1942,16
Apr 1942,16.1
May 1942,16.3
June 1942,16.3
July 1942,16.4
Aug 1942,16.5
Sep 1942,16.5
Oct 1942,16.7
Nov 1942,16.8
Dec 1942,16.9
Jan 1943,16.9
Feb 1943,16.9
Mar 1943,17.2
Apr 1943,17.4
May 1943,17.5
June 1943,17.5
July 1943,17.4
Aug 1943,17.3
Sep 1943,17.4
Oct 1943,17.4
Nov 1943,17.4
Dec 1943,17.4
Jan 1944,17.4
Feb 1944,17.4
Mar 1944,17.4
Apr 1944,17.5
May 1944,17.5
June 1944,17.6
July 1944,17.7
Aug 1944,17.7
Sep 1944,17.7
Oct 1944,17.7
Nov 1944,17.7
Dec 1944,17.8
Jan 1945,17.8
Feb 1945,17.8
Mar 1945,17.8
Apr 1945,17.8
May 1945,17.9
June 1945,18.1
July 1945,18.1
Aug 1945,18.1
Sep 1945,18.1
Oct 1945,18.1
Nov 1945,18.1
Dec 1945,18.2
Jan 1946,18.2
Feb 1946,18.1
Mar 1946,18.3
Apr 1946,18.4
May 1946,18.5
June 1946,18.7
July 1946,19.8
Aug 1946,20.2
Sep 1946,20.4
Oct 1946,20.8
Nov 1946,21.3
Dec 1946,21.5
Jan 1947,21.5
Feb 1947,21.5
Mar 1947,21.9
Apr 1947,21.9
May 1947,21.9
June 1947,22
July 1947,22.2
Aug 1947,22.5
Sep 1947,23
Oct 1947,23
Nov 1947,23.1
Dec 1947,23.4
Jan 1948,23.7
Feb 1948,23.5
Mar 1948,23.4
Apr 1948,23.8
May 1948,23.9
June 1948,24.1
July 1948,24.4
Aug 1948,24.5
Sep 1948,24.5
Oct 1948,24.4
Nov 1948,24.2
Dec 1948,24.1
Jan 1949,24
Feb 1949,23.8
Mar 1949,23.8
Apr 1949,23.9
May 1949,23.8
June 1949,23.9
July 1949,23.7
Aug 1949,23.8
Sep 1949,23.9
Oct 1949,23.7
Nov 1949,23.8
Dec 1949,23.6
Jan 1950,23.5
Feb 1950,23.5
Mar 1950,23.6
Apr 1950,23.6
May 1950,23.7
June 1950,23.8
July 1950,24.1
Aug 1950,24.3
Sep 1950,24.4
Oct 1950,24.6
Nov 1950,24.7
Dec 1950,25
Jan 1951,25.4
Feb 1951,25.7
Mar 1951,25.8
Apr 1951,25.8
May 1951,25.9
June 1951,25.9
July 1951,25.9
Aug 1951,25.9
Sep 1951,26.1
Oct 1951,26.2
Nov 1951,26.4
Dec 1951,26.5
Jan 1952,26.5
Feb 1952,26.3
Mar 1952,26.3
Apr 1952,26.4
May 1952,26.4
June 1952,26.5
July 1952,26.7
Aug 1952,26.7
Sep 1952,26.7
Oct 1952,26.7
Nov 1952,26.7
Dec 1952,26.7
Jan 1953,26.6
Feb 1953,26.5
Mar 1953,26.6
Apr 1953,26.6
May 1953,26.7
June 1953,26.8
July 1953,26.8
Aug 1953,26.9
Sep 1953,26.9
Oct 1953,27
Nov 1953,26.9
Dec 1953,26.9
Jan 1954,26.9
Feb 1954,26.9
Mar 1954,26.9
Apr 1954,26.8
May 1954,26.9
June 1954,26.9
July 1954,26.9
Aug 1954,26.9
Sep 1954,26.8
Oct 1954,26.8
Nov 1954,26.8
Dec 1954,26.7
Jan 1955,26.7
Feb 1955,26.7
Mar 1955,26.7
Apr 1955,26.7
May 1955,26.7
June 1955,26.7
July 1955,26.8
Aug 1955,26.8
Sep 1955,26.9
Oct 1955,26.9
Nov 1955,26.9
Dec 1955,26.8
Jan 1956,26.8
Feb 1956,26.8
Mar 1956,26.8
Apr 1956,26.9
May 1956,27
June 1956,27.2
July 1956,27.4
Aug 1956,27.3
Sep 1956,27.4
Oct 1956,27.5
Nov 1956,27.5
Dec 1956,27.6
Jan 1957,27.6
Feb 1957,27.7
Mar 1957,27.8
Apr 1957,27.9
May 1957,28
June 1957,28.1
July 1957,28.3
Aug 1957,28.3
Sep 1957,28.3
Oct 1957,28.3
Nov 1957,28.4
Dec 1957,28.4
Jan 1958,28.6
Feb 1958,28.6
Mar 1958,28.8
Apr 1958,28.9
May 1958,28.9
June 1958,28.9
July 1958,29
Aug 1958,28.9
Sep 1958,28.9
Oct 1958,28.9
Nov 1958,29
Dec 1958,28.9
Jan 1959,29
Feb 1959,28.9
Mar 1959,28.9
Apr 1959,29
May 1959,29
June 1959,29.1
July 1959,29.2
Aug 1959,29.2
